FACILITY ID,WDID,FACILITY NAME,PROGRAM CATEGORY,Reclassification,COMMUNITY TYPE,FEDERAL FACILITY,GW ASSESSMENT,NPDES ASSESSMENT,WDR ASSESSMENT,CS ASSESSMENT
656643,#N/A,"850 Jefferson Avenue, Redwood City On Broadway",NPDESWW,NR,n/a,FALSE,No,No,No,No
234156,#N/A,A.K. Warren Water Resource Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
205325,#N/A,Alturas Municipal WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
205477,#N/A,American Canyon Water Reclamation Facility (WRF) (formerly WWTP),NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
251217,#N/A,American Valley WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
205741,#N/A,Anderson WPCP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
205793,#N/A,Angels City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
206164,#N/A,Arcata City WWTF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
747519,#N/A,Atwater Regional WWTF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
839916,#N/A,Atwater WWTF Mun WW Disch that Meet Obj/Criteria at the Point of Discharge,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
206733,#N/A,Auburn WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
208276,#N/A,Avalon WWTF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
206888,#N/A,Avila WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
252771,#N/A,Beach Wastewater Treatment Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
273161,#N/A,Bear Valley CSD WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
209035,#N/A,Bear Valley WWTF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
259170,#N/A,Beaumont WWTP No. 1,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
209253,#N/A,Benicia WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
209484,#N/A,Big Basin Redwoods SP WWTP,NPDESWW,RE,TRANSIENT,FALSE,No,No,No,No
209509,#N/A,Big Creek Powerhouse No 1 WWTF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
210272,#N/A,Brawley City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
210322,#N/A,Brentwood WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
212135,#N/A,Burbank WRP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
210839,#N/A,Burlingame WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
