"ANNUAL_REPORT_YEAR","WDID","REGION","REG_MEAS_STATUS","LAST_UPDATED_ON","SSS_CATEGORY","POP_SERVED","X._ENTRY_STAFF","X._JOURNEY_STAFF","X._SUPERVISORY_STAFF","X._MANAGERIAL_STAFF","X._CERTIFIED_GRADE_I","X._CERTIFIED_GRADE_II","X._CERTIFIED_GRADE_III","X._CERTIFIED_GRADE_IV","X._CERTIFIED_GRADE_V","X._CERTIFIED_CSUS","OTHER_CERTIFICATIONS","MILES_FORCED_MAINS","MILES_GRAVITY_SEWERS","X.6IN_OR_LESS_GRAVITY_MAIN","X.8IN_GRAVITY_MAIN","X.9.18IN_GRAVITY_MAIN","X.19.36IN_GRAVITY_MAIN","X.36IN_GREATER_GRAVITY_MAIN","X.UNK_DIAM_GRAVITY_MAIN","X.TOT_GRAVITY_MAIN","X.6IN_OR_LESS_FORCE_MAIN","X.8IN_FORCE_MAIN","X.9.18IN_FORCE_MAIN","X.19.36IN_FORCE_MAIN","X.36IN_GREATER_FORCE_MAIN","X.UNK_FORCE_MAIN","X.TOT_FORCE_MAIN","X._CONNECTED_LATERALS","X._LATERALS_OWNED_OPERATED","PORTIONS_LATERAL_RESPONSIBLE","MILES_LATERAL_RESPONSIBLE","X.GRAVITY_MAIN_2020.PRESENT","X.GRAVITY_MAIN_2000.2019","X.GRAVITY_MAIN_1980.1999","X.GRAVITY_MAIN_1960.1979","X.GRAVITY_MAIN_1940.1959","X.GRAVITY_MAIN_1920.1939","X.GRAVITY_MAIN_1900.1919","X.GRAVITY_MAIN_BEFORE_1900","X.GRAVITY_MAIN_UNKNOWN_AGE","X.GRAVITY_MAIN_TOTAL","X.PUMP_75000_GAL.DAY_OR_OVER_2020.PRESENT","X.PUMP_75000_GAL.DAY_OR_OVER_2000.2019","X.PUMP_75000_GAL.DAY_OR_OVER_1980.1999","X._PUMP_75000_GAL.DAY_OR_OVER_1960.1979","X.PUMP_75000_GAL.DAY_OVER_1940.1959","X.PUMP_75000_GAL.OR_OVER_1920.1939","X.PUMP_75000_GAL.DAY_OR_OVER_1900.1919","X.PUMP_75000_GAL.DAY_OR_OVER_BEFORE_1900","X.PUMP_75000_GAL.DAY_OR_OVER_UNKNOWN_AGE","X.PUMP_75000_GAL.DAY_OR_OVER_TOTAL","X.PUMP_UNDER_75000_GAL.DAY_2020.NOW","X.PUMP_UNDER_75000_GAL.DAY_2000.2019","X.PUMP_UNDER_75000_GAL.DAY_1980.1999","X.PUMP_UNDER_75000_GAL.DAY_UNDER_1960.1979","X.PUMP_UNDER_75000_GAL.DAY_1940.1959","X.PUMP_UNDER_75000_GAL.DAY_1920.1939","X.PUMP_UNDER_75000_GAL.DAY_1900.1919","X.PUMP_UNDER_75000_GAL.DAY_BEFORE_1900","X.PUMP_UNDER_75000_GAL.DAY_UNKNOWN_AGE","X.PUMP_UNDER_75000_GAL.DAY_TOTAL","EST_MILES_NOT_ACCESSIBLE","MILES_CLEANED","MILES_INSPECTED","FIRST_ROW_TREATMENT_PLANT_WDID","FIRST_ROW_NAME_ADDRESS","FIRST_ROW_RELATIONSHIP","SECOND_ROW_TREATMENT_PLANT_WDID","SECOND_ROW_NAME_ADDRESS","SECOND_ROW_RELATIONSHIP","THIRD_ROW_TREATMENT_PLANT_WDID","THIRD_ROW_NAME_ADDRESS","THIRD_ROW_RELATIONSHIP","FOURTH_ROW_TREATMENT_PLANT_WDID","FOURTH_ROW_NAME_ADDRESS","FOURTH_ROW_RELATIONSHIP","SATELLITE_TRIBUTARY_SYSTEMS","FIRST_ROW_TRIBUTARY_SYSTEM_OWNED","FIRST_ROW_TRIBUTARY_SYSTEM_NAME","FIRST_ROW_COLLECTION_SYSTEM_WDID","SECOND_ROW_TRIBUTARY_SYSTEM_OWNED","SECOND_ROW_TRIBUTARY_SYSTEM_NAME","SECOND_ROW_COLLECTION_SYSTEM_WDID","THIRD_ROW_TRIBUTARY_SYSTEM_OWNED","THIRD_ROW_TRIBUTARY_SYSTEM_NAME","THIRD_ROW_COLLECTION_SYSTEM_WDID","FOURTH_ROW_TRIBUTARY_SYSTEM_OWNED","FOURTH_ROW_TRIBUTARY_SYSTEM_NAME","FOURTH_ROW_TREATMENT_PLANT_WDID.1","FIFTH_ROW_TRIBUTARY_SYSTEM_OWNED","FIFTH_ROW_TRIBUTARY_SYSTEM_NAME","FIFTH_ROW_TREATMENT_PLANT_WDID","INFO_ADDITIONAL_TRIBUTARY_SYSTEMS","X.GRAVITY_MAINLINE_AERIAL_OR_UNDER_GROUND_CROSSINGS","X.FORCE_MAINLINE_AERIAL_OR_UNDER_GROUND_CROSSINGS","X._SIPHONS","SYSTEM_PERFORMANCE_EVAL_ATTACHED","SPILL_EMERGENCY_RESPONSE_PLAN_UPDATED","MAJOR_SPILL_CAUSES","SPILL_CAUSES_OTHER_DESC","FAILURE_POINTS","FAILURE_POINTS_OTHER_DESC","ONGOING_SPILL_INVESTIGATIONS","ACTIONS_TAKEN_TO_ADDRESS_DEFICIENCIES","X"
2023,"3SSO10315","3",616,"25-MAR-24","Other",10500,0,1,0,1,0,0,0,1,0,1,"",0,7,90,5,5,0,0,0,100,0,0,0,0,0,0,0,7,7,"Upper and Lower",7,0,0,8,92,0,0,0,0,0,100,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7,2,"WDID","City of Watsonville, Watsonville, CA 95076","WWTP same agency","","","","","","","","","","N","","","","","","","","","","","","","","","","",2,0,1,"N","Y","Damage by Others Not Related to Collection System Construction/Maintenance","","Manhole","","None","None",NA
2023,"6SSO18106","6A",616,"11-APR-24","Municipal(Public)",2400,1,2,1,0,1,0,0,1,0,2,"",0,6.4,1,30,63,6,0,0,100,0,0,0,0,0,0,100,287,287,"Lower only",1,20,80,0,0,0,0,0,0,0,100,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,"100%","Herlong PUD 448-805 Pole Line Rd, Herlong","WWTP same agency","","","","","","","","","","N","","","","","","","","","","","","","","","","",0,0,0,"","Y","Root Intrusion","","Upper Lateral","","NONE","New infrastructure",NA
2023,"8SSO10542","8",616,"03-APR-24","Municipal(Public)",344461,4,8,2,4,3,1,1,0,0,0,"Two (2) NASSCO PACP Certified Employees",0,560,20,30,25,25,0,0,100,0,0,0,0,0,0,0,94000,0,"None",0,1,4,22,40,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,40,"8SSO10574","Garden Grove City CS, 13802  Newhope Street, Garden Grove, CA 92843 ","SSS other agency","8SSO10640","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP other agency","","","WWTP other agency","","","","Y","N","City of Buena Park","8SSO10546","N","City of Placentia","8SSO10593","N","City of Fullerton","8SSO20044","","","","","","","",10,1,144,"Y","Y","Debris-wipes/Non-disposables","","Gravity Mainline","",NA,"Ongoing capital improvement program and sanitary sewer studies.  Ongoing as-needed point repairs as identified during CCTV inspections and / or preventative maintenance activities.",NA
2023,"8SSO10574","8",616,"29-MAR-24","Municipal(Public)",172652,0,10,1,1,4,3,2,1,0,1,"n/a",3,328,2,80,14,4,0,0,100,10,90,0,0,0,0,100,37100,0,"None",0,2,4,2,20,67,5,0,0,0,100,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,170,9,"8SSO10640","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP same agency","","","","","","","","","","N","","","","","","","","","","","","","","","","n/a",0,0,60,"Y","Y","Fats, Oil and Grease (FOG)","n/a","Gravity Mainline","n/a","No ongoing spill investigations.","A Capital Improvement Plan was developed in accordance with findings contained in the District’s System Evaluation and Capacity Assurance Plan (SECAP) and its Sewer System Rehabilitation Plan. The Sewer System Rehabilitation Plan is an ongoing, multi-year effort of inspecting and evaluating the condition of the entire sewer system. The sewer system was first inspected and evaluated (in phases) between 2005 and 2012. In 2017 the District continued the Rehabilitation Plan in order to re-inspect and re-evaluate the entire sewer system. Phase I of the Rehabilitation Plan was completed in 2017-2018. Phase II of the Rehabilitation Plan was completed in 2021-2022. Phase III is planned for later this year. As part of the Capital Improvement Plan, an ongoing schedule of improvements at various site locations are in progress to address system capacity and deficiencies. This will decrease sewer overflows and enable development throughout the City. ",NA
2024,"8SSO10574","8",616,"13-NOV-25","Municipal(Public)",172652,2,7,2,1,5,3,2,1,0,1,"N/A",3,328,2,80,14,4,0,0,100,10,90,0,0,0,0,100,371000,0,"None",0,2,4,2,20,67,5,0,0,0,100,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,152.7,19.2,"8 300112001","Groundwater Replenishment System - Advanced WTF, 18700  Ward Street, Fountain Valley, CA 92708-6930 ","WWTP other agency","","","","","","","","","","N","","","","","","","","","","","","","","","","N/A",0,0,60,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Gravity Mainline","N/A","No ongoing spill investigations.","The District is in the process of updating its Sewer Master Plan. The Master Plan will evaluate existing flows, re-evaluate previously recommended but unconstructed projects identified as deficient, and project future flow conditions.   The objective of the updated Sewer Master Plan is to evaluate the system’s capacity to accommodate future flow conditions including additional wastewater flow from the accessory dwelling units and the SB9 housing requirements. The Master Plan will also assess the impact of inflow and infiltration flow on the system. Additionally, the sewer hydraulic model will be updated and calibrated using flow data collected by monitoring devices. Other tasks will include assessments of the force mains and the suction and discharge pipes at the three lift stations.  The Sewer Master Plan will become the District’s new planning document describing improvement needs and expenditures for the next 20 years.",NA
2025,"8SSO10574","8",616,"26-MAR-26","Municipal(Public)",172608,2,7,2,1,4,3,2,1,0,1,"N/A",3,328,2,79,18,1,0,0,100,10,90,0,0,0,0,100,371000,0,"None",0,2,4,2,20,67,5,0,0,0,100,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,291.8,110.7,"8 300112001","Groundwater Replenishment System - Advanced WTF, 18700  Ward Street, Fountain Valley, CA 92708-6930 ","WWTP other agency","","","","","","","","","","N","","","","","","","","","","","","","","","","N/A",0,0,21,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Gravity Mainline","N/A","No ongoing spill investigations.","The District is nearing completion of an update to its Sewer Master Plan. The Master Plan update will evaluate existing flows, re-evaluate previously recommended but unfinished projects identified as deficient, and project future flow conditions.   The objective of the updated Sewer Master Plan is to evaluate the system's capacity to accommodate future flow conditions including additional wastewater flow from the accessory dwelling units and the SB9 housing requirements. The Master Plan will also assess the impact of inflow and infiltration flow on the system. Additionally, the sewer hydraulic model will be updated and calibrated using flow data collected by monitoring devices. Other tasks will include assessments of the force mains and the suction and discharge pipes at the three District lift stations. The Sewer Master Plan will become the District's new planning document describing improvement needs and expenditures for the next 20 years. ",NA
2023,"8SSO10602","8",616,"02-APR-24","Municipal(Public)",311000,2,12,2,1,4,8,1,0,0,8,NA,0,389,21,57,20,2,0,0,100,0,0,0,0,0,0,0,45902,0,"None",0,1,5,6,44,29,12,2,0,1,100,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,111,0,"8SSO10640 ","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP same agency","","","","","","","","","","N","Y","Garden Grove City","8SSO10574 ","Y","Orange City","8SSO10591","","","","","","","","","",NA,0,0,45,"Y","Y","Fats, Oil and Grease (FOG)",NA,"Manhole",NA,NA,"Ongoing sewer cleaning, CCTV inspections, and sewer capacity evaluations.",NA
2024,"8SSO10602","8",616,"30-MAR-26","Municipal(Public)",311000,2,10,2,1,2,10,1,1,0,0,"N/A",0,392,21,57,20,2,0,0,100,0,0,0,0,0,0,0,46077,0,"None",0,1,5,6,44,29,12,2,0,1,100,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,266,266,"8303536001","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP other agency","","","","","","","","","","N","Y","CITY OF GARDEN GROVE","8SSO10574","Y","CITY OF ORANGE","8SSO10591","","","","","","","","","","N/A",0,0,45,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Manhole","N/A","N/A","Ongoing Sewer Maintenance (Cleaning) CCTV Inspection Services Sewer Capacity Evaluations",NA
2025,"8SSO10602","8",616,"30-MAR-26","Municipal(Public)",311000,2,10,2,1,2,10,1,1,0,0,"N/A",0,392,21,57,20,2,0,0,100,0,0,0,0,0,0,0,46077,0,"None",0,1,5,6,44,29,12,2,0,1,100,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,325,325,"8303536001","ORANGE COUNTY SANITATION DISTRICT","WWTP other agency","","","","","","","","","","N","Y","CITY OF GARDEN GROVE","8SSO10574","Y","CITY OF ORANGE","8SSO10591","","","","","","","","","","N/A",0,0,45,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Manhole","N/A","N/A","Ongoing Sewer Maintenance (Cleaning) CCTV Inspection Services Sewer Capacity Evaluations",NA
2023,"8SSO10590","8",616,"04-APR-24","Municipal(Public)",83411,2,9,1,1,4,2,1,1,0,0,"",5,318,20,70,10,0,0,0,100,100,0,0,0,0,0,100,25525,25525,"Lower only",121,0,10,15,40,20,10,0,0,5,100,0,0,0,0,0,0,0,0,0,0,0,2,3,8,4,2,0,0,1,20,1,160,7,"8sso10590","Newport Beach City CS,949 W 16th ST, Newport Beach, CA 92658 ","WWTP other agency","","","","","","","","","","Y","N","Costa Mesa Sanitary District, 290 Paulorino Ave. Costa Mesa CA","8SSO10566","","","","","","","","","","","","","",4,7,4,"Y","Y","Root Intrusion","Grease deposits. Wipes. Construction debris.","Gravity Mainline","","No","CCTV investigations. Emergency repairs. CIP Repairs. Upgraded  cleaning schedule.",NA
