"Region","Wdid","Status","Last.Updated.On","CS.Type","SSOq.Population.Served","SSOq.Annual.O.M.Budget","SSOq.Annual.Cap.Exp.Budget","SSOq.Entry.Individuals","SSOq.Journey.Individuals","SSOq.Super.Individuals","SSOq.Manage.Individuals","SSOq.Grade.I.Maint","SSOq.Grade.I.Plant","SSOq.Grade.II.Maint","SSOq.Grade.II.Ei","SSOq.Grade.II.Mechanical","SSOq.Grade.III.Maint","SSOq.Grade.III.Ei","SSOq.Grade.III.Mechanical","SSOq.Grade.IV.Maint","SSOq.Grade.IV.Ei","SSOq.Grade.IV.Mechanical","SSOQ_CSU_I","SSOQ_CSU_II","SSOQ_PIPE_6_GRAVITY","SSOQ_PIPE_6_FORCE","SSOQ_PIPE_8_GRAVITY","SSOQ_PIPE_8_FORCE","SSOQ_PIPE_9_18_GRAVITY","SSOQ_PIPE_9_18_FORCE","SSOQ_PIPE_19_36_GRAVITY","SSOQ_PIPE_19_36_FORCE","SSOQ_PIPE_36_GRAVITY","SSOQ_PIPE_36_FORCE","SSOQ_PIPE_UNKNOWN_GRAVITY","SSOQ_PIPE_UNKNOWN_FORCE","SSOQ_PIPE_TOTAL_GRAVITY","SSOQ_PIPE_TOTAL_FORCE","SSOQ_MILES_OF_FORCE_MAIN","SSOQ_MILES_OF_GRAVITY_SEWER","SSOQ_MILES_OF_LATERALS","SSOQ_PORTION_OF_LTERL_RESPSBLE","SSOQ_MILES_OF_LTERL_RESPSBLE","SSOQ_NO_SERVICE_LATERAL","SSOQ_UNKNOWN_GRAVITY","SSOQ_UNKNOWN_OVER","SSOQ_UNKNOWN_UNDER","SSOQ_CONSTRUCTED_BEFORE_1900","SSOQ_BEFORE_1900_OVER","SSOQ_BEFORE_1900_UNDER","SSOQ_CONSTRUCTED_1900_1919","SSOQ_1900_1919_OVER","SSOQ_1900_1919_UNDER","SSOQ_CONSTRUCTED_1920_1939","SSOQ_1920_1939_OVER","SSOQ_1920_1939_UNDER","SSOQ_CONSTRUCTED_1940_1959","SSOQ_1940_1959_OVER","SSOQ_1940_1959_UNDER","SSOQ_CONSTRUCTED_1960_1979","SSOQ_1960_1979_OVER","SSOQ_1960_1979_UNDER","SSOQ_CONSTRUCTED_1980_1999","SSOQ_1980_1999_OVER","SSOQ_1980_1999_UNDER","SSOQ_CONSTRUCTED_2000_CURRENT","SSOQ_AFTER_2000_OVER","SSOQ_AFTER_2000_UNDER","SSOQ_TOTAL_GRAVITY","SSOQ_TOTAL_OVER","SSOQ_TOTAL_UNDER","SSOQ_INACCESSIBLE_SEWER_MILES","SSOQ_SEWER_CLEAN_PRODUCTION","SSOQ_GRAVITY_SEWER_INSPECTION","SSOQ_SSF_AVERAGE_DRY","SSOQ_SSF_PEAK_WET","SSOQ_TO_TYPE_1","SSOQ_TO_NAME_1","SSOQ_TO_WDID_1","SSOQ_26_COUNT","SSOQ_TRIBUTARY_SSS","SSOQ_TRIBUTARY_1","SSOQ_TRIBUTARY_NAME_1","SSOQ_TRIBUTARY_WDID_1","SSOQ_27B_COUNT","SSOQ_GRAVITY_AERIAL_CROSS","SSOQ_FORCE_AERIAL_CROSS","SSOQ_SIPHONS_CONVEY_SEWAGE","X"
"1","1SSO10001","Active","04/03/2023","Municipal (Public)","19,114","750,000","250,000","1",6,"2","1","3","1","0","0","1","0","0","0","1","0","0",3,0,"65","100","18","0","7","0","5","0","0","0","5","0",100,100,"2","61","51","lower","31","5421","0","0","0","0","0","0","4","0","0","40","0","0","18","0","0","26","0","2","8","0","5","4","1",3,100,1,10,"1.3","14.86","0.40","1.031","11","WWTP same agency","City of Arcata","1B82114OHU",1,"Yes","No","Fieldbrook/Glendale","unknown",1,3,0,0,NA
"1","1SSO10003","Active","05/30/2023","Municipal (Public)","1,139","508,225","3,315,889","0",6,"1","1","4","0","2","0","0","0","0","0","0","0","0",0,0,"0","100","80","0","20","0","0","0","0","0","0","0",100,100,"1.9","15.1","3,180","none","0","1115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","0","8","10","0","0","5","0",0,100,0,8,"0.5","5","5","0.263","1.1","WWTP same agency","BBPUD RECLAMATION AND DISPOSAL FACILITY","1B750280SON",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10004","Active","01/11/2023","Municipal (Public)","450","99,000","61,640","0",2,"1","1","2","0","2","0","0","0","0","0","0","0","0",4,0,"90","0","10","0","0","0","0","0","0","0","0","0",100,0,"0.3","2.9","1.0","lower","0.4","110","0","0","0","0","0","0","0","0","0","0","0","0","65","0","0","0","0","0","25","0","0","10","0",0,100,0,0,"0","0.3","0.3",".03",".08","WWTP same agency","Calpella County Water District","1SSO10004",1,"No"," "," "," ",0,1,0,0,NA
"1","1SSO10005","Historical","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","",0,"","","","",0,NA,NA,NA,NA
"1","1SSO10006","Active","09/06/2022","Prison","4,000","3,000","3,000","1",5,"1","1","0","0","0","0","0","0","0","0","0","0","0",1,1,"46","100","46","0","8","0","0","0","0","0","0","0",100,100,"0.1","4.5","1.1","upperLower","1.1","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98","0","0","2","0",1,100,0,1,"0","0.1","0.59",".5","1.5","WWTP same agency","Pelican Bay State Prison","1SSO10006",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10011","Historical","02/10/2023","Park (w/Campground)","250","2,000","2,000","0",2,"1","1","0","0","0","0","0","0","0","0","1","0","1",0,0,"100","100","0","0","0","0","0","0","0","0","0","0",100,100,"0.2","0.9","0.1","upperLower","0.1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","0","0","47","0","1","0","0",0,100,0,1,"0.4","0","0",".009",".014","SSS same agency","CDPR Van Damme State Park CS","1SSO10011",1,"No"," "," "," ",0,2,0,1,NA
"1","1SSO10012","Active","07/05/2022","Municipal (Public)","7,535","1,823,488","794,472","1",4,"1","1","1","0","0","0","0","1","0","0","0","0","0",1,0,"73","0","20","0","6","0","1","0","0","0","0","0",100,0,"1","25.8","26.6","lower","6.5","2300","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","15","0","0","50","0","0","30","0",0,100,0,0,"3","7","1",".46","3.9","WWTP other agency","The Laguna Plant","0",1,"No"," "," "," ",0,2,2,3,NA
"1","1SSO10014","Active","09/01/2022","Municipal (Public)","50,000","8,387,426","6,135,316","2",7,"3","3","5","0","4","0","0","0","0","0","0","0","0",2,5,"50","0","10","0","25","50","15","50","0","0","0","0",100,100,"11","119","91","lower","45","9600","0","0","0","10","0","0","10","0","0","20","0","0","25","5","0","20","3","0","10","4","0","5","4",0,100,16,0,"3","40","6","3","30","WWTP same agency","Elk River WWTP","805407",1,"Yes","Yes","HCSD","1FF011419",1,2,1,2,NA
"1","1SSO10016","Active","08/08/2023","Municipal (Public)","43,958","15,994,877","5,237,207","0",4,"1","1","2","0","0","0","0","3","0","0","1","0","1",4,0,"55","0","29","0","12","20","3","80","1","0","0","0",100,100,"7.5","110","80","none","0","80","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","65","1","0","25","1","0","5","0",1,100,2,1,"0.6","14.6","15","3.5","15","WWTP other agency","City of Santa Rosa","1B830990SON",1,"Yes","No","Sonoma State University","1B08057RSON",2,10,2,16,NA
"1","1SSO10017","Active","03/08/2023","Municipal (Public)","7,448","5,003,918","1,004,850","2",10,"1","1","4","0","2","0","0","1","0","0","1","0","0",0,0,"74","0","12","22","12","78","2","0","0","0","0","0",100,100,"2.7","29.6","53","lower","10.5","2754","0","0","0","0","0","0","0","0","0","5","0","0","20","0","0","50","0","0","20","0","1","5","1",0,100,1,1,"2.7","29","10",".404","3.476","WWTP other agency","Laguna Wastewater Treatment Plant","1B830990SON",1,"No"," "," "," ",0,4,1,3,NA
